latitude,longitude
34.08350632965546,-118.25033676187596
34.058893219238506,-118.2507998949698
34.091594418563446,-118.2502849415424
34.011510715430454,-118.24942024570028
34.060703924815186,-118.25117826979732
34.08208105761551,-118.24948815270649
34.04049335781404,-118.25107444749936
34.09494012870495,-118.2508737007854
34.08704245818048,-118.24959462229012
34.05075076415603,-118.24970776358712
34.01074730019081,-118.24998982138229
34.01292700491799,-118.25051644452527
34.03957627785511,-118.25116037351474
34.01796445206698,-118.24957796922776
34.05069731125587,-118.24913780030603
34.03201076820498,-118.24887667673417
34.0630017430578,-118.2497220402048
34.06371662514625,-118.25034422230813
34.066778113290674,-118.25057113363054
34.0696979888474,-118.24950367580837
34.0551739860916,-118.2496196149295
34.02593311829542,-118.25097893002958
34.01209707079681,-118.24870099405747
34.05691097470371,-118.24890725558927
34.08815646156344,-118.25060349843153
34.059042890311154,-118.25055847474616
34.00529774284633,-118.25064386742984
34.090434848684346,-118.25071151642553
34.04031972439743,-118.25124514630576
34.06712642488348,-118.25037245788708
34.094951590371096,-118.2488310879389
34.051447756461826,-118.25131230519744
34.07371409016857,-118.25035289768863
34.04347262056246,-118.24910856973729
34.055303073453324,-118.24946225977813
34.06723197308448,-118.24998796844586
34.030757130061104,-118.25076633145007
34.02562351521698,-118.25130297430292
34.005830113162354,-118.24984706886347
34.02290729547288,-118.25034917396358
34.07922081700955,-118.25051225072832
34.02223846833436,-118.2498103495495
34.08047811054889,-118.24978339507211
34.01404836111042,-118.25089623582242
34.079875056984385,-118.2498086574681
34.00807586551578,-118.24949650394245
34.02407205274084,-118.25106215798262
34.08200720150703,-118.25084519219898
34.02772533272699,-118.25084379949001
34.07167255599856,-118.25039496922157
